date,value
2021-01-01,63.8411282131303
2021-01-02,71.3530454475252
2021-01-03,72.9065346487763
2021-01-04,65.4812039181932
2021-01-05,54.8569762209983
2021-01-06,52.9601874344257
2021-01-07,61.5170611406292
2021-01-08,65.933209255354
2021-01-09,71.8186326764081
2021-01-10,73.9809415961283
2021-01-11,61.474129769965
2021-01-12,55.5858160802875
2021-01-13,55.5971954387902
2021-01-14,53.4359968848029
2021-01-15,60.5493350289615
2021-01-16,72.9100102710828
2021-01-17,71.1195396717193
2021-01-18,64.9078475684597
2021-01-19,55.7211997504963
2021-01-20,52.4555011738986
2021-01-21,63.8788654256845
2021-01-22,65.9114060301532
2021-01-23,75.9192241856069
2021-01-24,71.3100931826946
2021-01-25,63.8859915168764
2021-01-26,59.7622155805963
2021-01-27,54.444014240002
2021-01-28,62.211793231575
2021-01-29,66.1675968403266
2021-01-30,76.2098761397735
2021-01-31,74.7847984724578
2021-02-01,71.6011230436786
2021-02-02,60.6617978797708
2021-02-03,55.922479162321
2021-02-04,64.6356874747625
2021-02-05,65.7009795428113
2021-02-06,78.7595709387178
2021-02-07,72.3064691251714
2021-02-08,64.191755171083
2021-02-09,62.3970990056666
2021-02-10,61.9286768672048
2021-02-11,64.022954774565
2021-02-12,69.8191209122425
2021-02-13,78.5051900587235
2021-02-14,74.7162674994964
2021-02-15,66.9328983464912
2021-02-16,61.708148742594
2021-02-17,63.8627878196212
2021-02-18,65.5489765764019
2021-02-19,66.4190846113123
2021-02-20,81.2278662467651
2021-02-21,78.6897486265882
2021-02-22,68.0562873049912
2021-02-23,65.5969882084953
2021-02-24,64.7717239693801
2021-02-25,68.1008026276914
2021-02-26,69.8640137476149
2021-02-27,80.4538446184339
2021-02-28,81.5448369416422
2021-03-01,73.4237901626306
2021-03-02,63.5422349238658
2021-03-03,62.361810013375
2021-03-04,63.458650633282
2021-03-05,69.7437252412402
2021-03-06,84.3101263555594
2021-03-07,85.1237068515004
2021-03-08,71.3905113246802
2021-03-09,68.3241993275495
2021-03-10,64.6015488987572
2021-03-11,65.4492187058984
2021-03-12,74.677645154934
2021-03-13,86.9803734849587
2021-03-14,82.0593431670033
2021-03-15,76.486415226928
2021-03-16,59.2008939699754
2021-03-17,66.486307871667
2021-03-18,68.0504957039427
2021-03-19,73.5012689264478
2021-03-20,83.6643291018038
2021-03-21,77.3606347412945
2021-03-22,72.221771574851
2021-03-23,67.7733481999941
2021-03-24,68.7742782862576
2021-03-25,66.9147169647355
2021-03-26,72.6059539773143
2021-03-27,82.523789646565
2021-03-28,85.6422220697681
2021-03-29,74.1276376898442
2021-03-30,65.7854312644544
2021-03-31,66.5579040538543
2021-04-01,68.9457196238435
2021-04-02,77.7552114302952
2021-04-03,82.31537212062
2021-04-04,82.5997134244991
2021-04-05,72.4764556155738
2021-04-06,63.5407999773047
2021-04-07,66.2294828763034
2021-04-08,69.6277117872198
2021-04-09,75.3743168263677
2021-04-10,83.7795765428187
2021-04-11,79.8463754046312
2021-04-12,72.5643378676747
2021-04-13,66.7133852252981
2021-04-14,63.3917645838009
2021-04-15,68.5969222056549
2021-04-16,76.5426053184973
2021-04-17,89.5785035662415
2021-04-18,84.1938199532586
2021-04-19,74.4318600693254
2021-04-20,67.455986634373
2021-04-21,76.2103064806098
2021-04-22,68.943084857267
2021-04-23,75.5786990130201
2021-04-24,103.184426938503
2021-04-25,83.1320416144296
2021-04-26,74.4620348629275
2021-04-27,67.4571875962109
2021-04-28,62.2792873145653
2021-04-29,71.9596320511762
2021-04-30,77.2885286187178
2021-05-01,86.3934768468105
2021-05-02,81.0044834336808
2021-05-03,77.227112532648
2021-05-04,63.5410643641892
2021-05-05,66.7779764259228
2021-05-06,74.5307305433679
